Name of the president,Date of the union address,Link to Address,Filename_AddressText
Thomas Jefferson,November-8-1808,http://www.infoplease.com/t/hist/state-of-the-union/20.html,C:\Users\Sri Vishnu theja\Parse\20.txt
James Madison,November-29-1809,http://www.infoplease.com/t/hist/state-of-the-union/21.html,C:\Users\Sri Vishnu theja\Parse\21.txt
James Madison,December-5-1810,http://www.infoplease.com/t/hist/state-of-the-union/22.html,C:\Users\Sri Vishnu theja\Parse\22.txt
James Madison,November-5-1811,http://www.infoplease.com/t/hist/state-of-the-union/23.html,C:\Users\Sri Vishnu theja\Parse\23.txt
James Madison,November-4-1812,http://www.infoplease.com/t/hist/state-of-the-union/24.html,C:\Users\Sri Vishnu theja\Parse\24.txt
James Madison,December-7-1813,http://www.infoplease.com/t/hist/state-of-the-union/25.html,C:\Users\Sri Vishnu theja\Parse\25.txt
James Madison,September-20-1814,http://www.infoplease.com/t/hist/state-of-the-union/26.html,C:\Users\Sri Vishnu theja\Parse\26.txt
James Madison,December-5-1815,http://www.infoplease.com/t/hist/state-of-the-union/27.html,C:\Users\Sri Vishnu theja\Parse\27.txt
James Madison,December-3-1816,http://www.infoplease.com/t/hist/state-of-the-union/28.html,C:\Users\Sri Vishnu theja\Parse\28.txt
James Monroe,December-12-1817,http://www.infoplease.com/t/hist/state-of-the-union/29.html,C:\Users\Sri Vishnu theja\Parse\29.txt
James Monroe,November-16-1818,http://www.infoplease.com/t/hist/state-of-the-union/30.html,C:\Users\Sri Vishnu theja\Parse\30.txt
James Monroe,December-7-1819,http://www.infoplease.com/t/hist/state-of-the-union/31.html,C:\Users\Sri Vishnu theja\Parse\31.txt
James Monroe,November-14-1820,http://www.infoplease.com/t/hist/state-of-the-union/32.html,C:\Users\Sri Vishnu theja\Parse\32.txt
James Monroe,December-3-1821,http://www.infoplease.com/t/hist/state-of-the-union/33.html,C:\Users\Sri Vishnu theja\Parse\33.txt
James Monroe,December-3-1822,http://www.infoplease.com/t/hist/state-of-the-union/34.html,C:\Users\Sri Vishnu theja\Parse\34.txt
James Monroe,December-2-1823,http://www.infoplease.com/t/hist/state-of-the-union/35.html,C:\Users\Sri Vishnu theja\Parse\35.txt
James Monroe,December-7-1824,http://www.infoplease.com/t/hist/state-of-the-union/36.html,C:\Users\Sri Vishnu theja\Parse\36.txt
John Quincy Adams,December-6-1825,http://www.infoplease.com/t/hist/state-of-the-union/37.html,C:\Users\Sri Vishnu theja\Parse\37.txt
John Quincy Adams,December-5-1826,http://www.infoplease.com/t/hist/state-of-the-union/38.html,C:\Users\Sri Vishnu theja\Parse\38.txt
John Quincy Adams,December-4-1827,http://www.infoplease.com/t/hist/state-of-the-union/39.html,C:\Users\Sri Vishnu theja\Parse\39.txt
John Quincy Adams,December-2-1828,http://www.infoplease.com/t/hist/state-of-the-union/40.html,C:\Users\Sri Vishnu theja\Parse\40.txt
Andrew Jackson,December-8-1829,http://www.infoplease.com/t/hist/state-of-the-union/41.html,C:\Users\Sri Vishnu theja\Parse\41.txt
Andrew Jackson,December-6-1830,http://www.infoplease.com/t/hist/state-of-the-union/42.html,C:\Users\Sri Vishnu theja\Parse\42.txt
Andrew Jackson,December-6-1831,http://www.infoplease.com/t/hist/state-of-the-union/43.html,C:\Users\Sri Vishnu theja\Parse\43.txt
Andrew Jackson,December-4-1832,http://www.infoplease.com/t/hist/state-of-the-union/44.html,C:\Users\Sri Vishnu theja\Parse\44.txt
Andrew Jackson,December-3-1833,http://www.infoplease.com/t/hist/state-of-the-union/45.html,C:\Users\Sri Vishnu theja\Parse\45.txt
Andrew Jackson,December-1-1834,http://www.infoplease.com/t/hist/state-of-the-union/46.html,C:\Users\Sri Vishnu theja\Parse\46.txt
Andrew Jackson,December-7-1835,http://www.infoplease.com/t/hist/state-of-the-union/47.html,C:\Users\Sri Vishnu theja\Parse\47.txt
Andrew Jackson,December-5-1836,http://www.infoplease.com/t/hist/state-of-the-union/48.html,C:\Users\Sri Vishnu theja\Parse\48.txt
Martin van Buren,December-5-1837,http://www.infoplease.com/t/hist/state-of-the-union/49.html,C:\Users\Sri Vishnu theja\Parse\49.txt
Martin van Buren,December-3-1838,http://www.infoplease.com/t/hist/state-of-the-union/50.html,C:\Users\Sri Vishnu theja\Parse\50.txt
Martin van Buren,December-2-1839,http://www.infoplease.com/t/hist/state-of-the-union/51.html,C:\Users\Sri Vishnu theja\Parse\51.txt
Martin van Buren,December-5-1840,http://www.infoplease.com/t/hist/state-of-the-union/52.html,C:\Users\Sri Vishnu theja\Parse\52.txt
John Tyler,December-7-1841,http://www.infoplease.com/t/hist/state-of-the-union/53.html,C:\Users\Sri Vishnu theja\Parse\53.txt
John Tyler,December-6-1842,http://www.infoplease.com/t/hist/state-of-the-union/54.html,C:\Users\Sri Vishnu theja\Parse\54.txt
John Tyler,December-1843,http://www.infoplease.com/t/hist/state-of-the-union/55.html,C:\Users\Sri Vishnu theja\Parse\55.txt
John Tyler,December-3-1844,http://www.infoplease.com/t/hist/state-of-the-union/56.html,C:\Users\Sri Vishnu theja\Parse\56.txt
James Polk,December-2-1845,http://www.infoplease.com/t/hist/state-of-the-union/57.html,C:\Users\Sri Vishnu theja\Parse\57.txt
James Polk,December-8-1846,http://www.infoplease.com/t/hist/state-of-the-union/58.html,C:\Users\Sri Vishnu theja\Parse\58.txt
James Polk,December-7-1847,http://www.infoplease.com/t/hist/state-of-the-union/59.html,C:\Users\Sri Vishnu theja\Parse\59.txt
James Polk,December-5-1848,http://www.infoplease.com/t/hist/state-of-the-union/60.html,C:\Users\Sri Vishnu theja\Parse\60.txt
Zachary Taylor,December-4-1849,http://www.infoplease.com/t/hist/state-of-the-union/61.html,C:\Users\Sri Vishnu theja\Parse\61.txt
Millard Fillmore,December-2-1850,http://www.infoplease.com/t/hist/state-of-the-union/62.html,C:\Users\Sri Vishnu theja\Parse\62.txt
Millard Fillmore,December-2-1851,http://www.infoplease.com/t/hist/state-of-the-union/63.html,C:\Users\Sri Vishnu theja\Parse\63.txt
Millard Fillmore,December-6-1852,http://www.infoplease.com/t/hist/state-of-the-union/64.html,C:\Users\Sri Vishnu theja\Parse\64.txt
Franklin Pierce,December-5-1853,http://www.infoplease.com/t/hist/state-of-the-union/65.html,C:\Users\Sri Vishnu theja\Parse\65.txt
Franklin Pierce,December-4-1854,http://www.infoplease.com/t/hist/state-of-the-union/66.html,C:\Users\Sri Vishnu theja\Parse\66.txt
Franklin Pierce,December-31-1855,http://www.infoplease.com/t/hist/state-of-the-union/67.html,C:\Users\Sri Vishnu theja\Parse\67.txt
Franklin Pierce,December-2-1856,http://www.infoplease.com/t/hist/state-of-the-union/68.html,C:\Users\Sri Vishnu theja\Parse\68.txt
James Buchanan,December-8-1857,http://www.infoplease.com/t/hist/state-of-the-union/69.html,C:\Users\Sri Vishnu theja\Parse\69.txt
James Buchanan,December-6-1858,http://www.infoplease.com/t/hist/state-of-the-union/70.html,C:\Users\Sri Vishnu theja\Parse\70.txt
James Buchanan,December-19-1859,http://www.infoplease.com/t/hist/state-of-the-union/71.html,C:\Users\Sri Vishnu theja\Parse\71.txt
James Buchanan,December-3-1860,http://www.infoplease.com/t/hist/state-of-the-union/72.html,C:\Users\Sri Vishnu theja\Parse\72.txt
Abraham Lincoln,December-3-1861,http://www.infoplease.com/t/hist/state-of-the-union/73.html,C:\Users\Sri Vishnu theja\Parse\73.txt
Abraham Lincoln,December-1-1862,http://www.infoplease.com/t/hist/state-of-the-union/74.html,C:\Users\Sri Vishnu theja\Parse\74.txt
Abraham Lincoln,December-8-1863,http://www.infoplease.com/t/hist/state-of-the-union/75.html,C:\Users\Sri Vishnu theja\Parse\75.txt
Abraham Lincoln,December-6-1864,http://www.infoplease.com/t/hist/state-of-the-union/76.html,C:\Users\Sri Vishnu theja\Parse\76.txt
Andrew Johnson,December-4-1865,http://www.infoplease.com/t/hist/state-of-the-union/77.html,C:\Users\Sri Vishnu theja\Parse\77.txt
Andrew Johnson,December-3-1866,http://www.infoplease.com/t/hist/state-of-the-union/78.html,C:\Users\Sri Vishnu theja\Parse\78.txt
Andrew Johnson,December-3-1867,http://www.infoplease.com/t/hist/state-of-the-union/79.html,C:\Users\Sri Vishnu theja\Parse\79.txt
Andrew Johnson,December-9-1868,http://www.infoplease.com/t/hist/state-of-the-union/80.html,C:\Users\Sri Vishnu theja\Parse\80.txt
Ulysses S. Grant,December-6-1869,http://www.infoplease.com/t/hist/state-of-the-union/81.html,C:\Users\Sri Vishnu theja\Parse\81.txt
Ulysses S. Grant,December-5-1870,http://www.infoplease.com/t/hist/state-of-the-union/82.html,C:\Users\Sri Vishnu theja\Parse\82.txt
